Topic,2013,2014,2015,2016
High Scalability Computing,3,1,3,1
Usability,1,4,0,0
FPGA,0,1,0,0
Experience Design,0,1,0,0
Startup Businesses,5,8,8,3
Joomla,0,1,0,0
Dan Kennedy Style Marketing,0,1,0,0
Mixed Reality,0,0,0,1
App Development,0,0,1,0
Wordpress Help,1,0,0,0
Aerial videography,0,2,0,0
Open source tools,0,1,0,0
Digital Marketing through Emerging Technologies,0,1,0,0
Smart Home,0,3,0,0
Internet Startup Idea Group,0,1,0,0
Drupal Mastering,1,0,0,0
Mobile Design,0,0,1,0
Amazon Simple Storage Service (Amazon S3),1,0,0,0
Zend Framework,0,2,0,0
Hobbies,0,0,1,0
Interaction Design,0,5,0,0
Women Entrepreneurs,1,2,3,1
Customer Feedback,0,1,0,0
Data Center and Operations Automation,0,3,1,0
Software QA and Testing,1,1,1,0
Windows Mobile,1,0,0,0
Science Technology Engineering Math,0,1,0,0
Perl,0,0,1,0
Mobile Game Development,0,0,1,0
Heroku,1,0,0,0
Advertising and marketing - digital and print,0,0,1,0
Natural Language Processing,0,0,0,1
Cloud Computing Security,0,1,0,0
C#.NET,0,1,0,0
indian startups,1,0,0,0
WordPress Training,1,0,1,0
JQuery,1,0,2,0
Kanban,0,0,2,1
Web Design,3,9,3,1
Play Framework,0,1,0,0
Make a difference,0,1,0,0
CEM,0,1,0,0
Apex Development,1,0,0,1
Ansible,0,1,1,0
Microsoft Access,0,1,0,0
Leveraging Big Data,0,1,2,0
Creative Design,0,1,0,0
Founder Institute,0,1,0,0
Indie Games,0,0,1,0
Oracle Weblogic,0,0,0,1
Computer Security,0,2,2,0
Independent Game Development,0,0,1,1
CSS,0,0,1,0
Quad Copters,0,1,0,0
Software Development,8,26,14,7
Wordpress Themes,1,2,1,1
Education,0,1,0,0
WordPress Small Business Web Sites,1,0,2,0
Big Data,4,15,13,8
ASP.NET,0,1,1,0
Money,1,0,1,0
Functional Programming,1,2,1,1
Bluetooth Low Energy,0,2,0,0
Smart City,0,1,0,0
Software Testing,1,1,1,0
Wearable Technologies,0,1,0,0
Hardware Hacks & Gadgeteering,1,0,0,0
Using MongoDB in the cloud,1,0,0,0
New Technology,6,21,11,6
Mobile User Experience,0,3,2,0
rapid prototyping,0,2,0,0
Amazon Web Services,2,2,0,1
Email Marketing (Ecommerce),0,0,1,0
Database Professionals,2,3,0,1
Arduino,1,3,1,1
Information Technology in Business,0,1,0,0
M2M Devices,0,3,0,0
Web Standards,1,0,0,0
ASP.NET MVC,0,1,1,0
Social Innovation,0,0,1,0
Medicine,0,0,1,0
co-founder,0,1,0,0
Mathematical Modelling,0,1,0,0
Hadoop Analytics,0,1,0,0
Explore: Agile Scrum XP Lean Kanban,0,0,0,1
Design Strategy,0,1,0,0
APIs,0,0,1,0
test,0,0,1,0
Ember JS,1,1,1,0
Axure RP Interactive Wireframing,0,1,0,0
Web Services,1,1,0,0
indian cofounders,1,0,0,0
Data,0,2,0,0
ITIL ITSM,0,1,0,0
DIY (Do It Yourself),1,3,2,1
Customer Satisfaction,0,1,0,0
Six Sigma,0,0,1,0
Developing Mobile Apps,0,0,1,0
Technology Innovation,0,0,1,0
Ruby On Rails,0,1,1,0
IOT hacking,0,2,0,0
Database Development,3,3,1,1
Computer programming,10,25,10,3
EC2,1,1,0,0
"Game Design, Game Modding, 3D Modeling",0,1,0,0
Oracle,0,0,0,1
Kx,0,0,1,0
Motion Graphics,0,2,0,0
Test Automation Frameworks,0,1,0,0
Affiliate Marketing,1,0,0,0
MongoDB,3,3,0,0
Statistical Computing,1,0,0,0
Programming Languages,0,6,0,0
Deep Learning,0,0,1,2
Agile Project Management,1,2,3,2
Objective C,1,1,1,0
Unix,0,1,0,0
Product Management,0,0,1,0
User experience design,0,3,0,0
Be the Change You Wish to See in the World,0,1,0,0
Cassandra,1,0,0,0
Knowledge Sharing,0,0,0,1
3D Animation,0,2,0,0
Healthcare Innovation,0,0,1,0
UI Design,0,4,1,0
Animation,0,1,0,0
Matlab,0,1,0,0
Copywriting,0,1,0,0
Decentralized Systems,0,0,1,0
iOS Game Development,0,1,0,0
Hacking together Art Design and Code,0,1,0,0
Internet of Things,0,6,1,2
Youth Mentoring,0,1,0,0
BlackBerry Application Development,0,1,0,0
Quadcopters,0,1,0,0
Online Marketing,2,9,2,1
Windows Azure Platform,0,1,1,0
Test Automation,1,1,1,0
Web Application,0,0,0,1
Stream Processing,0,0,0,1
Apache Apex,0,0,0,2
online,0,1,0,0
Gadget Lovers,1,0,0,0
Continuous Integration,0,1,0,0
Entrepreneur Networking,0,1,2,1
QA Professionals,0,1,0,0
Amazon Relational Database Service (Amazon RDS),1,0,0,0
WordPress for Business,1,0,2,0
Windows Phone Developers,1,0,0,0
System Administration,0,3,1,0
Multicopters,0,1,0,0
IaaS (Infrastructure as a Service),1,4,1,1
Pay Per Click,0,1,0,0
Writing for Blogs,0,1,0,0
Building an Online Business,0,1,1,0
Personal Achievement,0,0,1,0
Cryptocurrency,1,1,1,0
Woodworking,1,0,0,0
eCommerce Technology,0,2,1,0
Online Retailers,0,1,0,0
Mobile Web Services,0,1,0,0
Help for Business Startups,0,2,1,0
SEO for Small to Medium Sized Businesses,0,3,0,0
Customer Experience Management,0,1,0,0
Small Business Technology,1,0,0,0
JavaScript Frameworks,2,3,3,0
Hadoop,5,4,6,2
SEO for Magento,0,1,0,0
Alternative Currency,0,0,1,0
Amazon Elastic MapReduce (Amazon EMR),1,0,0,0
BlackBerry Development,0,1,0,0
Innovation,0,2,3,1
Riak,1,0,0,0
Math,0,1,0,0
R Project for Statistical Computing,1,0,1,0
BlueMix,0,1,2,1
Server Side Javascript,0,0,1,0
Weekend Adventures,0,0,0,1
AWS,1,2,0,1
Search Engine Marketing,0,4,1,0
Network Engineering,0,1,0,0
Salesforce.com,1,0,0,0
Engineering Students,0,1,0,0
ElasticSearch,0,0,1,0
Drupal Users,1,0,0,0
Elixir,0,0,1,0
SEO for Small Businesses,0,1,0,0
.net development,0,1,0,0
Web Service Security,0,1,0,0
Configuration Management,0,3,1,0
Data Scientist,0,1,0,0
Artificial Intelligence Machine Learning Robotics,0,0,2,1
Testing Tools,0,1,1,0
Agile Leadership,0,1,2,2
Product Design,1,2,1,0
Mentor,0,1,0,0
Single Page Applications,0,1,0,0
Fitness,1,0,0,0
Entertainment Industry,0,1,0,0
Distributed Systems,0,0,1,0
Customer Experience,0,1,0,0
Salesforce.com Users,1,0,0,0
User experience research,0,2,0,0
Women Entrepreneur,0,1,0,0
E-Commerce,0,3,4,2
Blogging for Business,0,1,0,0
Object Oriented programming,0,1,0,0
Open source python,0,2,0,0
PHP,2,6,0,2
JIRA,0,1,0,0
Venture Capital,1,1,1,0
Blogging to Promote Yourself,0,0,1,0
Network Security,0,2,1,0
Scrum Master,0,0,0,1
CCIE Routing & Switching,0,1,0,0
Cisco Career Certifications,0,1,0,0
Software Design,0,1,0,0
analytics,0,0,1,0
Verilog,0,1,0,0
Founders,1,1,0,0
Color theory,0,0,1,0
Android,1,1,1,0
Artificial Intelligence Programming,0,0,2,2
Social Media,0,4,1,1
hackathons,0,1,0,1
Scrum,1,1,3,2
Business Referral Networking,2,1,0,0
Healthcare IT,0,0,1,0
Joomla Users,0,1,0,0
Scaling Agile,0,0,1,1
Data Analytics,2,13,10,4
Mobile Development,5,17,5,2
Data Journalism,0,1,0,0
Apache Lucene and Solr Open Source Search,0,0,1,0
RC Planes: Remote Controlled,0,2,0,0
Wellness,1,0,0,0
Education & Technology,0,0,0,3
Graphic Design Professionals,0,1,0,0
BlackBerry 10,0,1,0,0
Visualforce Development,1,0,0,0
Penetration Testing,0,1,0,0
Data Science using Python,0,0,1,2
Cloud Networking,0,0,1,0
Mobile Cloud,0,0,1,0
Amazon Elastic Load Balancing,1,0,0,0
e-commerce business,0,2,2,0
Internet Professionals,3,6,1,0
Mobile Games,1,0,0,0
MapReduce,2,3,6,2
Business Startup,0,1,0,0
Search Engines,0,0,1,0
CCIE Voice,0,1,0,0
Ecommerce & Social Media,0,1,1,0
Predictive Analytics,1,4,6,5
"""Cloud Computing"" How to use it for your business",0,1,0,0
Professional Development,1,2,1,2
Information Architecture,0,1,0,0
Genetics,0,0,1,0
Mesh Networks,0,0,1,0
ECommerce Workshops,0,0,1,0
Big Data Analytics,1,7,8,2
GNU/linux,0,1,0,0
SaaS (Software as a Service),2,2,1,0
OpenStack,0,2,1,1
cloud services in healthcare,0,0,1,0
Service Catalogue Management,0,1,0,0
Decentralized Applications,0,0,1,0
Digital Marketer,0,1,0,0
ERP Consulting,0,0,1,0
C#,0,1,1,0
SEO Video Marketing,0,2,0,0
Internet Startups,0,6,6,1
Aerial photography,0,2,0,0
Digital marketing workshop,0,1,0,0
ADO.NET Entity Framework,0,1,0,0
Online Advertising,0,0,1,0
Doctors,0,0,1,0
Enterprise Search,0,0,1,0
.NET,0,0,1,0
Social Coding,0,1,0,1
New Product Development Professionals: NPDP,0,0,1,0
UAV,0,2,0,0
Data Science,1,7,7,3
Splunk,0,1,0,0
SAS,0,1,1,0
Arduino and Robotics,0,1,0,0
Digital Currency,1,1,1,0
Information Technology,1,4,1,0
Smart Property,0,0,1,0
Cloud Foundry,0,1,1,1
E-Commerce - Internet Marketing,0,1,1,0
ServiceNow,0,1,0,0
E-Commerce Professionals,0,1,0,0
User Experience,1,5,3,0
User Group,0,1,0,0
.net developers,0,1,0,0
Test Driven Development,1,1,2,1
Google adWords,0,1,0,0
Startup Incubation,0,1,1,0
3DMedia,0,1,0,0
Small Business,1,2,1,1
Internet e-Business & Startups,0,1,0,0
Agile Testing,1,1,2,0
Ember Data,0,1,0,0
"CCNP, CCIE",0,1,0,0
Selenium,1,0,1,0
Hybrid Cloud,0,0,1,0
Apache Cordova,0,1,0,0
oracle developer/programmer,0,0,0,1
Mobile Marketing,0,0,2,0
JavaScript Applications,0,0,1,0
Angel Investors,1,0,0,0
Healthy Living,1,0,0,0
Video Games,0,0,0,1
How to Market Your Business through Blogging,0,1,0,0
Autodesk Maya,0,1,0,0
Wireframing,0,1,0,0
Wordpress Plugins,1,1,2,1
couchdb,0,1,0,0
Platform as a Service,0,1,1,0
What is Bitcoin,1,1,1,0
healthcare technology,0,0,1,0
BigDataDevelopers,1,0,0,0
Open Source Content Management,0,1,0,0
User Experience Optimization,0,2,0,0
nodeJS,1,5,1,0
Visualforce,1,0,0,0
Geeks & Nerds,0,1,0,0
SEO (Search Engine Optimization),1,7,0,1
HTML5,1,2,1,0
Video Game Developers,0,0,1,0
Fashion Bloggers,0,0,1,0
Software Security,0,1,1,0
Software Engineering,0,1,0,0
Joomla users and developers,0,1,0,0
PhoneGap,0,1,0,0
Start-up,0,1,0,0
Young Entrepreneur,0,0,0,1
SEO Business Development,0,2,0,0
beginner php programming,0,2,0,0
Makers,1,1,0,1
LAMP,1,3,0,0
Hardware Engineering,1,1,0,0
Front-end Development,1,1,1,0
iPhone,0,0,1,0
Digital Marketing,1,2,1,0
3D Printing,1,1,0,1
Open Source Frameworks,1,1,0,0
Bitcoin,1,1,1,0
Microcontrollers,1,1,1,0
Startups meet VCs and Angel Investors,1,0,0,0
Creating Amazon Cloud Applications,0,0,1,0
Email Campaign Management,0,0,1,0
Open Standards,0,0,1,0
Gaming,0,0,1,0
iOS Development,3,5,4,2
Data Visualization,2,9,7,4
Hacker News,0,1,0,0
Graphical User Interfaces,0,1,0,0
Multi-Rotor Aircraft,0,2,0,0
Health and Technology,0,0,1,0
Agile Transformation,0,0,1,0
Apache Hadoop,0,1,1,0
Raspberry Pi,0,1,1,0
Adobe Creative Suite,0,1,0,0
WordPress Developers,1,1,2,0
Embedded Systems,0,1,1,0
Help Desk,0,1,0,0
Free Software Foundation,0,1,0,0
CCIE,0,1,0,0
Lean Six Sigma,0,0,1,0
Drupal,2,0,0,0
Direct Response Marketing,0,1,0,0
Joomla Mastering,0,1,0,0
iOS,1,3,2,0
RC Helicopters: Remote Controlled Helis,0,2,0,0
Women Science Technology Engineering & Mathematics,0,1,0,0
CMS (Content Management Systems),2,2,0,1
Applied Statistics,1,1,0,0
Data Mining,2,8,9,3
Oracle Business Solutions,0,0,0,1
Cloud Storage,0,1,1,0
Web Technology,5,16,9,1
Leadership,0,0,1,0
Python/Linux devop,0,1,0,0
Drone,0,2,0,0
SEO for Local Business,0,2,0,0
Robotics,2,1,2,1
Starting an E-Commerce Bus,0,1,0,0
CCNA,0,1,0,0
Learning,0,0,0,1
Cloud Computing Strategies and Roadmaps,0,1,1,1
Internet Retail,0,1,0,0
Custom Cars,0,1,0,0
Data Management,0,1,1,0
Small Business Marketing Strategy,1,0,0,0
Java,1,1,0,0
Scala,0,1,1,0
Industrial Design,1,0,0,0
Women in Technology,0,1,0,0
Software Defined Networking,0,0,1,0
Digital Marketing Analytics,0,2,0,0
Technology Professionals,2,2,0,0
Programmers,1,1,0,0
Cryptography,1,0,1,0
lean,0,0,1,0
DevOps,0,5,3,0
PaaS: Platform as a Service,2,1,1,0
Cloud Security,0,1,3,0
Continuous Delivery,0,3,1,0
Sensors,0,3,0,0
Ruby,0,1,1,0
Android Development,3,7,1,3
PHP CMS,0,1,0,0
Mobile App Development,1,0,0,0
Content Strategy,0,3,0,0
Customer Service,0,1,0,0
PaaS (Platform as a Service),1,4,2,1
Microsoft .Net User Group,0,1,0,0
Wordpress Customization,1,2,1,1
Professional Blogging,0,1,1,0
Growth Hacking,0,0,1,0
Extreme Programming,1,0,3,2
Radio Control Flying,0,2,0,0
Healthcare Big Data,0,0,1,0
Venture Capital Firms,1,0,0,0
Courses and Workshops,0,0,0,1
WordPress Websites,1,0,1,0
Business Strategy,0,3,2,2
Open Source Cloud,0,1,0,0
Big Data Developers,0,1,2,0
Machine-to-Machine,0,3,0,0
mobile analytics,1,0,0,0
Games,0,0,1,1
Learning Drupal,1,0,0,0
Best Practices for High Performance eCommerce,0,2,2,0
PHP Application Development,0,4,0,1
Smart Contracts,0,0,1,0
CCIE Cisco Certified Internetwork Expert,0,1,0,0
neural networks,0,0,2,1
UX / UI Design,0,2,0,0
Bring Angel Investors and Startups Together,1,0,0,0
Web Application Security,0,2,2,0
Radio Control,0,1,0,0
White Hat Hacking,0,2,1,0
Embedded Systems Programming,0,1,0,0
web application development,0,0,0,1
Disruptive innovation,0,0,1,0
Meteor,1,0,0,0
Statistics and data analysis,1,0,0,0
BI on Cloud,0,0,1,0
Content Marketing,1,2,0,0
Opscode Chef,0,1,0,0
early stage investors,1,0,0,0
Smart Grid,0,3,0,0
BigData,1,0,0,0
Ubuntu,0,1,0,0
Information Security,0,3,3,0
Community Building,0,1,0,0
Web Development,7,27,8,5
Video Game Design,0,0,0,1
Building Drones,0,1,0,0
Load Testing and Performance,1,0,0,0
Web Operations,0,2,0,0
Lean Management,0,0,1,0
Symfony2,0,1,0,0
Graphic Design,0,1,0,0
Open Source Hardware,0,0,1,0
Content Strategy and SEO,0,6,0,0
Ethereum,0,0,1,0
Mobile App Marketing,0,0,1,0
Blog Design,0,1,0,0
Email Campaign Marketing,0,0,1,0
blog marketing,0,1,0,0
Engineering,1,0,0,1
Puppet,0,1,0,0
Drones,0,2,0,0
Graph Databases,1,0,0,0
Entreprenuer networking,0,1,0,0
Startup Weekend,0,0,1,0
Exam preparation,0,1,0,0
KeystoneJS,0,1,0,0
Business Ideas,0,1,0,0
ERP Software,0,0,1,0
Text Analytics,1,0,1,0
Apex,1,0,0,1
Go programming language,0,1,0,0
Mathematica,0,1,0,0
BlackBerry Apps,0,1,0,0
golang,0,1,0,0
Oracle PL/SQL Development,0,0,0,1
Mathematics,0,1,0,0
Electronics,1,3,1,0
Business continuity,0,0,1,0
Bluetooth Technology,0,1,0,0
Learn Blogging,0,1,1,0
Innovations in Software Testing,0,1,0,0
IBM Bluemix,0,1,1,1
Augmented Reality,0,0,0,1
Infrastructure as Code,0,2,1,0
Applied Math,0,1,0,0
Data Analysis and Modeling,0,2,0,0
Open Source Community,1,1,0,0
Laravel,0,2,0,0
mbed developers,0,1,0,0
Share Experiences Knowledge of Product Development,0,0,1,0
College Students,0,0,1,0
Business Growth,0,0,1,0
VB.NET,0,1,0,0
Joomla Extension Development,0,1,0,0
Force.com,1,0,0,0
Business Analytics,1,0,5,0
Telematics,0,1,0,0
WordPress User Community,1,0,0,0
Internet E-Commerce Professionals & Startups,0,1,0,0
Hardware,0,1,0,0
Service-now.com,0,1,0,0
Virtualization,0,6,1,1
Business Intelligence,0,0,3,0
Cloud Analytics,0,0,1,0
Virtual Worlds,0,0,0,1
"HTML, XHTML, CSS & JavaScript",0,0,1,0
Virtual Reality,0,0,0,1
Artificial Intelligence,0,2,3,3
