Topic,2013,2014,2015,2016
Enterpreneurs,0,1,1,1
Cloud Deployment,0,0,1,1
Healthcare Professionals,0,0,1,1
NoSQL,3,7,9,10
E-Business Owners,2,2,3,3
Freelance,0,1,2,2
Mobile Technology,4,20,27,28
Hacking,1,4,5,5
Lucene Solr Nutch Mahout and Open Source Search,0,0,1,1
Health Professionals,0,0,1,1
Application Security,0,0,1,1
Open Data,0,1,1,1
Responsive Web Design,0,0,1,1
Entrepreneurship,2,16,26,28
CCSP Cisco Certified Security Professional,0,1,1,1
Email Marketing 2.0,0,0,1,1
JavaScript Libraries,1,2,3,3
Virtual Currency,1,2,3,3
Create a Blog,0,1,1,1
Energy,0,0,1,1
Technology Startups,4,12,23,27
BizSpark,0,0,1,1
Laser Cutting,0,0,0,1
Ethical Hacker,0,1,2,2
computer networking,0,1,1,1
Yii Framework,0,1,1,1
User Research,0,3,3,3
Social Media Marketing,2,5,7,7
BIG DATA-HADOOP,0,1,1,1
CG artists,0,1,1,1
HBase,1,1,1,1
Linux Server,0,1,1,1
Currency Trading,0,0,1,1
Game Development,0,0,1,2
Cybersecurity,0,0,1,1
Enterprise Resource Planning,0,1,1,1
Semantic Technologies,1,1,1,1
Electronic Speed Controllers,0,1,1,1
Bitcoin Miners,1,2,3,3
Scrum Practices,0,0,0,1
Go,0,1,1,1
Web Programming,0,1,1,1
Salesforce.com Integration,1,1,1,1
Unmanned Vehicles,0,2,2,2
Backbone.js,1,2,2,2
Deep Reinforcement Learning,0,0,0,1
Oracle Database Administration,0,0,0,1
MySQL,0,5,5,6
JVM Languages,0,1,1,1
Joomla! Template Design,0,1,1,1
Bitcoin business model,1,1,2,2
Software Quality,1,2,3,3
"Network Marketing, Online Advertising",0,1,1,1
early stage companies in india looking for capital,1,1,1,1
Salesforce.com Developers,1,1,1,1
SQL Server,0,2,2,2
Stanford Machine Learning Course CS 229,0,0,1,1
Interior Design,0,1,1,1
M2M,0,4,4,4
HTML,0,0,1,1
Machine Intelligence,0,0,2,2
3d,0,1,1,1
Coders,0,0,0,1
Product Development,0,1,1,1
Big Data for social media,0,1,3,3
Service Design,0,1,1,1
Smart Sensors,0,3,4,4
Azure,0,0,0,1
Social Networking,3,4,6,6
Customer Relationship Management,0,1,1,1
