Topic,2013,2014,2015,2016
Google Polymer,1,0,0,0
NoSQL,8,6,4,2
Active Learning,0,1,0,0
E-Business Owners,1,2,0,0
Freelance,0,1,0,0
Mobile Technology,6,14,7,4
Rails,0,0,1,0
Home DIY,0,1,0,0
Crowdsourcing,0,0,1,0
Office365,0,1,0,0
Stream Processing,0,0,0,2
Travel Blogging,0,0,1,0
PMP Certification,0,1,0,0
Hacking,1,2,0,1
Software Best Practises,0,1,0,0
Personal Development,0,2,0,0
Kubernetes,0,0,2,0
Open Data,1,0,0,0
Selenium Software,0,1,0,0
Liferay Integration,0,1,0,0
Entrepreneurship,4,8,5,0
Apache Pig,1,0,0,0
eLearning,0,1,0,0
Real-Time Internet,0,0,1,0
Apache,2,0,2,0
Microstrategy,0,1,0,0
Technology Startups,4,4,9,2
Nature Photography,0,0,1,0
PaaS: Platform as a Service,0,0,0,1
How to implement SAP HANA?,0,1,1,0
Ethical Hacker,0,2,0,0
computer networking,0,1,0,0
Apple iPhone and iPad,0,1,0,0
Graphs,0,0,1,0
Social Media Marketing,3,3,1,0
Digital Media,0,1,0,0
Project Management Professional Certification,0,1,0,0
BIG DATA-HADOOP,0,1,0,0
Personal robots,0,1,0,0
HBase,2,1,1,0
Electronics Technology,0,0,1,0
Akka,0,1,0,0
HDFS,1,0,0,0
Real Life uses of AWS and cloud servers,1,0,1,0
Flash Builder,0,1,0,0
Social Equality,0,1,0,0
SharePoint Technologies,0,1,0,0
Semantic Technologies,2,0,0,0
Scrum Practices,0,0,0,1
Go,0,1,0,0
Web Programming,0,1,0,0
Salesforce.com Integration,0,2,0,0
PMP Application,0,1,0,0
Continuous Deployment,0,1,0,0
Backbone.js,0,1,1,0
Game Design,0,1,0,0
PMP Training,0,1,0,0
Scrum in real world,0,0,1,1
Innovation,0,2,0,1
Tableau,0,1,0,0
Joomla! Template Design,0,1,0,0
Ruby on Rails Amazon Web Services,0,0,1,0
F# Programming,0,0,1,0
Vertica,1,0,0,0
Master Data Management,0,1,0,0
Software Quality,0,2,1,0
Collaboration between Creative Minds,0,1,0,0
Salesforce.com Developers,1,2,0,0
SQL Server,0,2,0,0
Seed Funding,0,0,1,0
SAP Business One,0,1,0,0
Server Side Javascript,0,2,0,0
Drupal Modules,0,1,0,0
HTML,0,1,1,0
Social Enterprise,0,1,0,0
Traditional Animation,0,1,0,0
Cofounders,0,0,1,0
Study Group,0,1,0,1
Artificial Intelligence Programming,0,1,0,0
Agile Leadership,0,1,1,2
Google Analytics,0,1,0,0
Film and Video Production,0,1,1,0
NFV,0,0,1,0
Smart Sensors,0,1,1,2
Firmware Development,0,1,0,0
Azure,0,1,0,0
Startup Financing,0,0,1,0
Social Networking,2,3,2,0
Rust,0,1,0,0
Product & Service Innovation,0,1,0,0
Customer Relationship Management,0,0,1,0
Foodie,0,1,0,0
Fundraising,1,0,0,0
PMI Standards,0,1,0,0
3D Modeling,0,2,0,1
Cloud Computing,8,15,12,3
Amateur and Ham Radio,0,1,0,0
Chart Analysis,0,1,0,0
New Product Development: Software & Tech,0,0,1,1
Learn Wordpress,0,1,0,0
ClickBank,1,0,0,0
Technology,2,8,1,0
Why Use SAP HANA?,0,1,1,0
Behaviour Driven Testing,0,0,1,0
VMUG,0,0,1,0
VHDL,0,1,0,0
Apache Hadoop,0,1,1,0
Product Marketing,0,0,0,1
CMS (Content Management Systems),2,9,2,2
Erlang Workshops,0,1,0,0
coursera.org,0,0,0,1
Education Entrepreneurs,0,1,0,0
Google Chrome,0,1,0,0
Big Data Ingestion,0,0,0,1
Web Security,0,2,0,0
